id,keyword,phonetic_code
5292,garden,G635
1767,torture,T636
1114,teacher-student-relationship,T2623
650,abduction,A1323
5131,auto-mechanic,A3525
4347,decorating,D2635
2162,video-diary,V36
5695,washing-a-car,W2526
3507,cigarette-case,C2632
4894,kim-fields,K5143
5882,magic,M2
5771,gospel-singer,G2142
4943,shakespeare's-romeo-and-juliet,S2162
640,race,R2
4422,braces-on-teeth,B6253
3296,fly-on-the-wall,F4534
3659,obesity,O123
2329,athlete,A343
3858,american-indian-ritual,A5625
4068,driving-car,D6152
3133,recruitment,R2635
4348,disposable-camera,D2121
817,video,V3
3860,baking-cookies,B252
1220,unplanned-pregnancy,U5145
2331,cali-colombia,C4245
4590,indian,I535
1479,twins,T52
4669,roast-pork,R2316
3784,bird,B63
789,music-videos,M2132
3493,reference-to-shakespeare's-hamlet,R1652
5378,drainage-pipe,D6521
3425,graphic-novel,G6125
3875,cousin-cousin-relationship,C2525
1994,saloon-girl,S4526
2864,bare-butt,B613
2185,poverty,P163
5355,meat-locker,M3426
3360,sports-bra,S1632
5243,interrogation-room,I5362
1689,24-hours,H62
3922,wet-clothes,W3243
554,casino,C25
2720,deal-gone-wrong,D4256
4732,oil-magnate,O4525
269,bachelor-party,B2461
2660,potassium-chloride,P3252
5853,dormitory,D6536
5604,resurrection,R2623
5716,deaf-woman,D15
3251,death-of-girlfriend,D3126
5620,whipping,W152
4193,mother-daughter-kiss,M3632
1126,organized-crime,O6252
5101,bullhorn,B465
1078,baby,B1
2494,80s-music,S52
3466,newcastle-england,N2345
431,art-studio,A6323
3608,challenge,C452
5075,skeletal-remains,S2434
2642,film-critic,F4526
4401,slave-owner,S4156
1046,coffin,C15
954,firefighting,F6123
637,benz,B52
5217,salvation-army,S4135
5278,failed-brakes,F4316
5546,flamenco,F452
5591,educational,E3235
5615,martyr,M636
1274,memorial-service,M5642
2863,public-humiliation,P1425
515,pseudo-sociology,P2324
570,reference-to-matisse,R1652
4496,wallpaper,W416
5985,wristwatch,W6232
290,hawk,H2
2468,nude-model,N3534
4477,ontario-canada,O5362
1822,fire-escape,F621
347,father-son-relationship,F3625
5392,changing-tire,C5252
2218,cross-dressing,C6236
4412,mute,M3
3062,lab-partner,L1635
748,motorcycle,M3624
1514,home-improvement,H5161
5475,solar-system,S4623
920,11th-century,T2536
975,dungeons-and-dragons,D5252
5332,derelict,D6423
4440,cassette-tape,C231
5193,python,P35
5142,belch,B42
319,snake,S52
1515,kiss,K2
1617,bar,B6
2058,kill-witness,K4352
5136,fatal-accident,F3423
351,truth,T63
314,missing-husband,M2521
4153,footsteps-on-ceiling,F3231
3612,glasses,G42
2534,tourist-attraction,T6236
1291,society,S23
3727,stuffed-toy-animal,S3135
5622,agriculture,A2624
2357,goalkeeper,G4216
5083,witness,W352
4546,scratching-face,S2632
2204,gay-parent,G1653
601,boutique,B32
3389,children's-tv-show,C4365
1889,evacuation,E1235
5371,sibling-rivalry,S1452
97,lifting-up-dress,L1352
1516,market-research,M6236
1033,scary,S26
3552,linguist,L523
3182,gratitude,G63
4042,sleeplessness,S4142
5648,frog-dissection,F6232
1509,porch-swing,P6252
1055,scare,S26
2956,action-figure,A2351
4708,state-police,S3142
58,prank,P652
463,festival,F2314
2522,system,S235
366,cliffhanger-ending,C4152
494,sergeant,S6253
876,wilhelm-scream,W4526
1614,security-camera,S2632
5079,quarry,Q6
1172,food-as-sex-metaphor,F3253
4138,broken-vase,B6251
1228,botox,B32
220,colleagues,C42
3290,warfare,W616
887,rebar,R16
2208,gay-bar,G16
5723,reproduction,R1632
5405,briefing,B6152
2963,reference-to-abraham-lincoln,R1652
2454,collecting,C4235
5347,german-shepherd,G6521
5042,childhood-depression,C4316
1935,shot-in-the-back,S3531
1613,robot,R13
457,crafts-shop,C6132
4148,face-wound,F253
709,hearing-noises,H6525
1944,mexican-border,M2516
190,home-made-sex-tape,H5323
1448,hangover,H5216
2628,teen-comedy,T5253
1402,korean,K65
2361,latino,L35
890,soap,S1
509,gay-lifestyle,G4123
752,reference-to-facebook,R1652
5560,manor,M56
5533,eucharist,E2623
3861,bed-moves-by-itself,B3512
5930,creek,C62
877,actual-animal-killed,A2345
5531,love-and-hate-relationship,L1536
4611,unfaithfulness,U5131
2032,medal,M34
5237,brick-through-window,B6236
3549,job-interview,J1536
3155,thanksgiving,T5215
5414,au-pere,A16
5260,ex-husband,E2153
103,painting,P5352
2877,oreos,O62
2485,biker,B26
3515,greenhouse,G652
214,bedroom,B365
3900,possessed-human,P235
3298,decade,D23
2548,principal,P6521
5678,childhood-photo,C4313
1626,modern-love,M3654
2973,hope,H1
316,missing-pet,M2521
5395,fox-hunt,F253
1795,off-screen-rape,O1265
4942,shakespeare's-macbeth,S2162
2004,sit-on-cactus,S3523
4573,corporal-punishment,C6164
2986,millennium-bug,M4512
3385,pregnant-lesbian,P6253
2066,falling-into-river,F4525
53,rapper,R16
1216,taxes,T2
2313,fatal-attraction,F3436
5923,little-lulu,L34
4198,taoist-priest,T2316
5851,assembly-line,A2514
1347,ohio,O
1455,bear-claw,B624
3145,islamophobia,I2451
1252,unwanted-houseguest,U5323
5975,bellhop,B41
4491,stepfather-stepdaughter-relationship,S3136
3124,10-year-old,Y643
5413,scratching-someone's-face,S2632
2905,superhero,S16
987,destiny,D235
2546,foreign-language-adaptation,F6254
1934,posse,P2
563,man-made-lagoon,M5342
1552,number-as-title,N5162
1421,borscht,B623
1749,pistol,P234
3824,prophetic-dream,P6132
2769,suicide-pill,S2314
5774,figure-skater,F2623
2249,lawsuit,L23
280,drug,D62
403,cold-war,C436
5362,private-plane,P6131
1459,cd,C3
3427,once-upon-a-time-in-the-title,O5215
1849,whispering,W2165
3777,shut-in,S35
4002,screaming-in-fear,S2652
1209,mailman,M45
5431,catholicism,C3425
203,boy-scouts,B232
1710,ak-47,A2
4937,louisiana,L25
500,homosexual,H524
29,withheld-information,W3435
3712,door-closes-by-itself,D6242
5168,skinny-dipping,S2531
803,rock-band,R2153
3891,little-boy,L341
4457,gunpowder,G5136
4604,laser,L26
2990,reminiscence,R5252
4265,tea-kettle,T234
414,bathtub,B31
5657,learning-disability,L6523
3193,presidential-election,P6235
5282,killing-a-dog,K4523
73,adultery,A3436
438,politics,P432
4333,cigarette-smoking,C2632
5370,ransom,R525
843,tattoo,T3
15,denial,D54
1305,baseball-stadium,B2142
3306,android,A5363
5272,car-keys,C62
660,anthropomorphism,A5361
3070,wedding-planning,W3521
522,based-on-dutch-tv-series,B2353
5684,overalls,O1642
3989,grand-opening,G6531
3365,internet-domain-in-title,I5365
2307,diabetes,D132
5618,pontius-pilate,P5321
2109,shotgun,S325
4567,medieval-times,M3143
4110,brushing-teeth,B6252
5838,porn-actor,P6523
2881,car-trouble,C6361
5234,contract-killer,C5362
3104,golf-ball,G414
3816,cloaked-figure,C4231
5039,billiard-contest,B4632
3392,actor-name-in-title,A2365
559,fine-dining,F5352
1660,army-officer,A6512
5025,shoeprint,S1653
4389,able-to-hear-the-dead,A1436
4146,dog-hair,D26
3986,feeling-stressed,F4523
340,web,W1
5556,family-gathering,F5423
3018,holocaust-survivor,H4232
1189,police-bust,P4212
325,day,D
1661,arrest,A623
2767,mouth-taped-shut,M3132
100,naive-woman,N15
5001,dishonest-doctor,D2523
3433,black-shirt,B4263
5609,nanotechnology,N5325
4729,interracial-marriage,I5362
205,gambling-debt,G5145
102,onion,O5
5084,acid-in-face,A2351
2198,bigotry,B236
5111,garage,G62
2501,peace-corps,P2612
1842,explosive-vest,E2142
2830,thief,T1
4710,elitism,E4325
1840,suspended-by-arms,S2153
4064,compulsion-to-draw,C5142
2585,mozambique,M2512
3318,gay-friend,G1653
1581,beach-house,B2
3373,giving-birth,G1521
4640,wartime-shortage,W6352
1,number-in-title,N5165
5587,symbol,S514
4887,mystery-villain,M2361
2379,soccer-practice,S2616
2111,atlanta-georgia,A3453
889,bare-chested-male,B6235
2848,homemaker,H526
3595,hiding,H352
1584,sister,S236
856,lifestyle,L1234
1571,swimming,S52
5423,kitchen-knife,K3252
1987,last-will-and-testament,L2345
5719,parentage,P6532
4523,springfield-illinois,S1652
1546,hyphen-in-title,H1534
1506,caviar,C16
1318,cleveland-indians,C4145
2070,hole-in-the-wall-bunch,H4534
4862,frustration,F6236
4763,fencing-school,F5252
2291,urinating-in-public,U6535
2383,stadium,S35
3462,1860s,S
2270,animal-bite,A5413
1789,black-woman-murdered,B4256
5857,suicide-net,S2353
965,apollo,A14
5156,campus,C512
1453,signing-a-contract,S2525
3500,time-lapse-photography,T5412
1180,spreadeagle,S1632
2887,menstruation,M5236
5245,irish,I62
3305,dark-comedy,D6253
422,news-team,N235
2303,reference-to-richard-nixon,R1652
4358,quarrel-between-parent-and-child,Q6413
5978,inn,I5
346,father-in-law,F3654
3102,on-the-rebound,O5361
5949,sierra-nevada-mountains,S6513
3429,variety,V63
3716,government-subsidy,G1653
5236,security-leak,S2634
4561,footprints,F3165
1771,treason,T625
2553,abusive-husband,A1212
3892,lord's-prayer,L6321
2153,chance,C52
1468,playing-cowboys-and-indians,P4521
1051,mastermind,M2365
3850,six-year-old,S2643
1465,inspiration,I5216
309,ghost,G23
692,kicking-someone,K2525
3343,tied-up-while-barefoot,T3141
4981,prime-suspect,P6521
5766,rural,R64
4962,police-detective,P4232
2041,newspaper-editor,N2163
2025,murder-plot,M6361
4257,nursery,N626
2648,controversial,C5361
4952,aviation,A135
4192,mansion,M525
3229,parental-death,P6534
2267,reference-to-david-blaine,R1652
1490,clothes-closet,C4324
754,reference-to-harry-potter,R1652
4320,dead-grandfather,D3265
74,black-lace-panties,B4242
2499,compassion,C5125
375,abusive-father,A1213
3428,unwanted-pass,U5312
3609,chauvinist,C1523
3903,religious-ritual,R4263
3386,multiple-birth,M4314
3023,chapel,C14
4248,daydream,D365
788,police-officer,P4212
4616,future-technology,F3632
3402,monologue,M542
71,1940s,S
1131,undercover,U5362
5650,suicidal-thoughts,S2343
1410,riches-to-rags,R2362
5631,weather-radar,W3636
3059,sabbath,S13
1236,chef,C1
1058,voice-changer,V2526
5712,road-movie,R351
1781,pregnant-woman-murdered,P6253
4927,guillotine,G435
2008,father-disapproves-of-boyfriend,F3632
1727,disarming-someone,D2652
3635,colonialism,C4542
4283,reference-to-isis,R1652
3761,aunt-niece-relationship,A5352
783,sketch-comedy,S2325
1361,kansas-city,K523
301,strip-club,S3612
2718,conjugal-visit,C5241
4012,divining-rod,D1526
3000,miscarriage,M262
2795,murder-of-family,M6361
760,celebration,C4163
3985,erratic-behavior,E6321
712,daughter,D236
11,blind-date,B453
311,bunker,B526
5984,toy-motorcycle,T5362
3108,lavatory,L136
5710,denver-colorado,D5162
1165,bra,B6
165,gay-couple,G214
5909,washed-ashore,W2326
5966,children's-home,C4365
2309,oral-rape,O6461
1786,dead-stewardess,D3236
131,based-on-supposedly-true-story,B2352
3570,inner-voice,I5612
2813,sociopath,S213
2948,hair-color,H6246
4033,birthday-present,B6316
4438,bullet-hole,B434
2226,second-city,S2532
1420,bartender,B6353
4379,police-dispatcher,P4232
4038,divorcee,D162
1155,violin-player,V4514
1709,work,W62
1321,milwaukee-wisconsin,M4252
4324,mechanic,M252
94,italian-army,I3456
4589,india,I53
5661,violin,V45
87,farce,F62
3724,smothered-to-death,S5363
1137,puppy-love,P141
653,female-fbi-agent,F5412
355,interview,I5361
266,beach,B2
267,pizza,P2
4073,fever,F16
3012,quitting-a-job,Q3521
1093,lgbtq,L2132
2822,law,L
713,ex-wife,E21
586,horse-riding,H6263
953,ambulance,A5145
3256,greed,G63
1517,office,O12
2959,muffin,M15
1027,snowy-landscape,S5453
5947,search-and-rescue,S6253
519,japan,J15
2330,bombing,B5152
1376,ice-hockey,I2
680,punched-in-the-face,P5235
3219,based-on-book,B2351
3085,coffee,C1
2019,father-hits-son,F3632
4519,safe,S1
3813,breaking-down-door,B6252
50,band,B53
1411,roommate,R53
608,giraffe,G61
3663,penetration,P5363
307,visual-hallucination,V2425
3568,gallows,G42
5701,teenage-angst,T5252
4893,slavery,S416
5896,flash-flood,F4214
5275,computer-program,C5136
2428,tea-ceremony,T265
381,face-slap,F241
972,death-of-sweetheart,D3123
5228,hostel,H234
3735,dead-father,D3136
979,dating,D352
3270,hooker,H26
5047,identifying-a-dead-body,I3531
2655,forensic-evidence,F6521
4089,mourning,M652
1522,george-w.-bush,G6212
4706,plant-cutting,P4532
1299,australian-and-new-zealand-army-corps,A2364
3099,mentally-handicapped,M5345
2974,lollipop,L41
2575,current-affairs,C6531
5115,male-in-shower,M4526
2096,refugee,R12
1409,rich-poor,R216
3840,footsteps,F3231
1401,female-protagonist,F5416
3479,detective-series,D3231
4517,reference-to-nat-king-cole,R1652
3311,male-frontal-nudity,M4165
3202,bloody-nose,B4352
1683,television-news,T4125
1940,religious-order,R4263
5322,hearse,H62
3338,seduction,S3235
2292,elevator,E4136
5623,farming,F652
5914,folk-tale,F4234
2920,piggie-back,P212
4315,braces-on-one's-teeth,B6252
3867,cereal,C64
3283,mercy,M62
328,guild,G43
4917,tavern,T165
198,planted-evidence,P4531
2654,forensic,F652
1254,ebay,E1
3615,iron,I65
3422,comic-book-artist,C5212
974,fishwife,F21
1477,tipping,T152
2659,male-nurse,M4562
857,young-people,Y5214
2886,menarche,M562
4903,recurring-character,R2652
2947,sign-language,S2545
2257,hip-replacement,H1614
4094,psychic-research,P2626
376,ambiguous-sexuality,A5124
3481,germany,G65
3458,autopsy,A312
1932,grave,G61
4129,webcam,W125
2971,deacon,D25
1057,swamp,S51
3194,voting,V352
5767,interracial-friendship,I5362
2177,anti-abortion,A5316
3093,anniversary,A5162
3227,nephew,N1
5922,based-on-comic-strip,B2352
2867,male-rear-nudity,M4653
2356,goalie,G4
5596,personality,P6254
308,cappuccino,C125
1862,closed-minded,C4235
343,actor-playing-multiple-roles,A2361
866,blood-spatter,B4321
886,plus-size,P42
2608,arab-spring,A6121
909,runt,R53
5056,wannabe,W51
5601,crucifixion,C6212
2128,secretary,S2636
2557,intentionally-misspelled-title,I5353
4930,turmoil,T654
540,hang-gliding,H5243
3148,ski-mask,S252
2415,r&b,R1
2169,idw-publishing,I3142
3078,contraband,C5361
4967,detective-inspector,D3231
5071,death-of-wife,D31
1719,computer-programmer,C5136
1589,card-game,C6325
2017,double-jeopardy,D1421
5417,convertible,C5163
242,kitchen,K325
24,photo-album,P3415
2319,part-animation,P6353
5554,department-store,D1635
2846,family-conflict,F5425
3130,giving-a-toast,G1523
5007,identifying-dead-body,I3531
3835,charm-bracelet,C6516
1240,overbearing-mother,O1616
1776,title-ends-with-period,T3453
3297,real-life-situations,R4123
946,spontaneous-human-combustion,S1535
4747,radio-producer,R3163
2325,baltimore-colts,B4356
3340,post-coital-scene,P2323
2797,all-points-bulletin,A4153
1814,wet-jeans,W3252
3763,clairvoyant,C4615
794,australian-shepherd,A2364
2137,physician,P25
84,cult-tv,C431
4490,station-wagon,S3525
4950,air,A6
2686,run-over-by-truck,R5161
5212,cricket-bat,C6231
3997,public-library,P1424
5259,crooked-lawyer,C6234
4769,death-by-poison,D3125
1127,prison-cell,P6252
5534,hebrew,H16
3244,swimming-pool,S5214
3445,ferdinand-marcos,F6353
3789,crawlspace,C6421
3368,baby-born,B165
3503,world-war-one-veteran,W6436
5128,stomach-contents,S3525
2397,bunny,B5
627,balkan,B425
3617,rain,R5
1011,hand,H53
2175,fish-out-of-water,F2313
289,having-tea,H1523
3958,vermont,V653
2318,boston-accent,B2352
2358,hispanic,H2152
4709,client,C453
565,monaco,M52
5391,art-thief,A631
2287,post-it-note,P2353
5145,designer-drug,D2563
23,photo,P3
4703,victim,V235
3544,furniture-store,F6536
3640,cervix,C612
1025,photographer,P3261
1373,bill-clinton,B4245
1828,stabbed-to-death,S313
353,behind-the-scenes,B5325
929,viking,V252
1604,maya,M
4304,intercom,I5362
505,east-indian,E2353
3156,heart-surgery,H6326
1072,royal-wedding,R4352
3356,social-issues,S242
2547,the-muppets,T5132
3278,night,N23
5722,working-wife,W6252
5390,antique,A532
4119,mood-swing,M3252
905,animal-in-title,A5453
2240,tv-studio,T123
4051,battle-of-wills,B3414
2103,arts-magazine,A6325
4326,pair-of-earrings,P6165
5006,house-painting,H2153
2141,violinist,V4523
1714,beating,B352
5521,venus-the-planet,V5231
5843,air-marshal,A6562
5206,surveillance-camera,S6145
5500,voyager-probe,V2616
694,text-messaging,T2352
480,music-band,M2153
4918,death-of-child,D3124
1441,wall-phone,W415
5406,"denton,-england",D5352
1398,diner,D56
639,moscow-russia,M262
365,anime,A5
5881,leprechaun,L1625
4474,mantle,M534
5540,religious-faith,R4213
1899,vise,V2
5341,telephone-number,T4151
1888,car-rollover,C6416
4165,pair-of-boots,P6132
1327,john-f-kennedy,J5125
1725,deception,D2135
1000,hidden-treasure,H3536
4953,aviation-history,A1352
1732,fight,F23
1473,six-pack,S212
4123,quarrel-between-couple,Q6413
2943,deaf,D1
2375,shot-to-death,S3
3955,ring-around-the-rosie,R5265
1877,stuffed-animal,S3135
3710,crying-baby,C6521
1039,lifting-someone-into-the-air,L1352
716,injury,I526
3321,high-school-student,H2423
1570,soccer-team,S2635
4083,hugging-one's-daughter,H2525
657,mtv,M31
1259,old-flame,O4314
3676,crystal,C6234
499,gay-hollywood,G43
3645,faking,F252
3474,british-mystery,B6325
1382,nudity,N3
298,scene-before-opening-credits,S2516
4799,evidence,E1352
1004,alternative-music,A4365
5989,bloody-scratches,B4326
2193,prayer,P6
1745,mole,M4
4351,father-daughter-conflict,F3632
3344,reality,R43
1718,cliffhanger,C4152
4786,rht-stockings,R3232
336,shrink,S652
2125,improvisation,I5161
5167,skeleton-key,S2435
796,classmate,C4253
277,cold-remedy,C4365
1381,american-football,A5625
580,dance,D52
1153,large-screen-tv,L6265
2532,global,G414
4350,drug-addict,D6232
2757,recluse,R242
63,dollar-sign-in-title,D4625
1206,lost-in-the-woods,L2353
4537,attempted-stabbing,A3513
4667,manicurist,M5262
4657,marriage-license,M6242
3649,g-spot,G213
51,concert-film,C5263
4102,terror,T6
2087,strangled-to-death,S3652
1162,vegan,V25
3050,kitten,K35
2435,home-schooling,H5245
2227,series-in-series,S6252
405,gun,G5
4639,red-meat,R353
2413,soul-music,S452
1549,revolution,R1435
4842,regret,R263
466,children's-city,C4365
5833,water-pollution,W3614
2285,neck-bite,N213
488,city-tour,C36
142,curse,C62
1817,bio-weapon,B15
4626,co-ed,C3
625,wildebeest,W4312
4044,tree-branch,T6165
4601,uniform,U5165
4199,tarantula,T6534
3686,blessing-a-house,B4252
4553,bed-ridden,B3635
1116,explosion,E2142
5497,uranus-the-planet,U6523
2191,muslim,M245
3990,handyman,H535
2389,war-on-drugs,W6536
2475,jester,J236
2773,lesbian-wife,L2151
1378,goldfish,G4312
5752,body-switching,B3232
261,teacher,T26
5396,fratricide,F6362
1684,trial,T64
1859,police-shoot-out,P423
4595,pillow,P4
5469,jupiter-moon-europa,J1365
5488,phoenix-mars-lander,P5256
4714,army-intelligence,A6534
592,net-fishing,N3125
1891,internet-feed,I5365
644,fbi,F1
4211,group-of-friends,G6165
588,market,M623
2072,time-table,T5314
5062,police-procedural,P4216
2996,great-americans,G6356
4565,great-britain,G6316
2184,minimum-wage,M52
4822,clue,C4
3739,ghost-of-father,G2313
5919,miniature-people,M5361
402,car,C6
3120,cap,C1
1229,caught-in-a-lie,C2354
2273,cat,C3
153,drop-cloth,D6124
3785,bird-cage,B632
411,spy,S1
4396,invisible-friend,I5121
5703,mental-retardation,M5346
32,bridesmaid,B6325
5137,petty-thief,P31
3786,birdcage,B632
4395,historical-research,H2362
572,river-cruise,R1626
4101,television-turns-off-by-itself,T4125
5437,dialysis,D42
2328,assassination-threat,A2535
226,discussion,D25
1157,freezer,F626
1090,year-1628,Y6
1249,poker-game,P2625
5600,biblical-epic,B1424
2531,economy,E25
3933,staircase,S362
2417,indie-rock,I5362
2889,apple-pie,A141
5368,dirt-bike,D6312
1627,music-store,M236
676,medical-emergency,M3245
2730,black-activist,B4231
1746,multiple-views,M4314
883,kicked-in-the-groin,K2353
595,sailfish,S412
4664,haircut,H623
2248,jury-duty,J63
3087,driving-test,D6152
664,cold,C43
593,pinata,P53
2447,rooftop,R131
5445,jigsaw-puzzle,J2124
5605,top-10,T1
5873,fantasy-episode,F5321
455,norway,N6
1901,injection,I5235
2647,movie-trailer,M1364
3315,back-stabbing,B2315
2542,weather-forecasting,W3616
3217,taliban,T415
4466,insane-man,I525
4459,hall,H4
1997,border-patrol,B6361
3629,garden-gnome,G6352
1071,denmark,D562
2504,columbia-university,C4515
1112,french-revolution,F6526
5890,space,S12
239,irony,I65
2039,death-of-husband,D3121
3266,undead,U53
3231,thong,T52
645,female-agent,F5425
5543,war-prisoner,W6162
1670,government-conspiracy,G1653
1371,rebel,R14
4461,hammer-moves-by-itself,H5651
3100,marine,M65
5692,uncle-niece-relationship,U5245
3775,recurring-nightmare,R2652
1866,zodiac-boat,Z3213
5893,19th-century,T2536
3397,british,B632
215,black-humor,B4256
3372,expectant-mother,E2123
3027,invitation,I5135
1904,promotion,P6535
4188,husband-wife-kiss,H2153
4424,child-molester,C4354
4958,flying,F452
2234,tv-channel,T1254
3705,bad-smell,B3254
1563,gender-transition,G5363
3168,ring,R52
5999,sheep,S1
1507,new-neighbor,N5216
230,friend,F653
3874,courier,C6
3264,survival-horror,S6146
1513,castle-thunder,C2343
5008,junkyard,J5263
263,television,T4125
2725,shallow-grave,S4261
4885,gay-character,G2623
711,christmas-present,C6235
3950,optimism,O1352
1331,minneapolis-minnesota,M5142
5645,angel,A524
5046,general-practitioner,G5641
5189,nude-artist-model,N3632
4291,watching-movie-on-tv,W3252
3456,crossover,C6216
2782,imaginary-person,I5256
211,anger,A526
3865,breakfast,B6212
2857,medical-examination,M3242
4269,aspiring-writer,A2165
4144,collapsing-to-floor,C4125
176,laundry-room,L5365
2955,veteran,V365
5393,dead-boy,D31
1451,mistaken-for-a-lesbian,M2325
3553,male-chauvinist,M4215
1379,call-in,C45
3396,based-on-sketch-comedy,B2352
1580,hidden-camera,H3525
683,telephone-call,T4152
5410,irish-woman,I625
2895,premarital-sex,P6563
3358,changing-room,C5252
5679,family-friend,F5416
1553,repetition-in-title,R1353
1503,tooth,T3
558,ferrari,F6
2459,pep-rally,P164
1493,dental-office,D5341
1832,propane-torch,P6153
3601,rambling,R5145
3593,german,G65
2426,kendo,K53
5291,ex-con,E25
5557,forbidden-love,F6135
1022,maine,M5
5912,african-dance,A1625
2424,japanese-culture,J1524
5222,twin-sister,T5236
4532,indian-burial-ground,I5351
1097,tv-drama,T1365
3007,alcoholism,A4242
5011,lesbian-relationship,L2156
1177,sex-on-table,S2531
2165,based-on-graphic-novel,B2352
3184,choir-robe,C61
3332,football-game,F3142
2464,confederate-flag,C5136
5586,religious-rite,R4263
3734,concert,C5263
756,reference-to-kim-jong-il,R1652
4651,chinese-american,C5256
1042,buried-alive,B6341
4202,year-1984,Y6
387,loss-of-mother,L2153
2320,larry-holmes,L6452
3014,baby-talk,B1342
4733,oil-tycoon,O4325
3135,throwing-salt-over-shoulder,T6524
4431,tree-swing,T6252
4386,watching-a-western-on-tv,W3252
3186,police-corruption,P4261
4693,runaway-wife,R51
2665,new-year's-eve,N621
3827,stay-at-home-mom,S35
448,installation,I5234
5346,environmentalist,E5165
4614,child-inventor,C4351
1823,helipad,H413
3465,1840s,S
372,prequel,P624
4425,general-contractor,G5642
410,rome-italy,R534
4472,madness,M352
2213,parents-families-&-friends-of-lesbians-and-gays,P6532
3147,reference-to-pbs,R1652
3520,red-herring,R3652
149,body-in-a-chest,B3523
5656,learning,L652
2583,american-soldier,A5625
5846,mass-hysteria,M236
5655,dyslexia,D242
5082,ufoologist,U1423
2051,wilcox-arizona,W4262
2480,british-rock-music,B6326
5523,dictator,D236
4529,exhaustion,E235
152,deadbeat-dad,D313
4340,hotel-room,H3465
5349,golf-course,G4126
5102,call-girl,C4264
1680,secret-agent,S2632
1484,female-urinating,F5465
4204,air-guitar,A6236
917,african-american,A1625
5788,handicapped,H5321
1317,san-francisco-giants,S5165
4677,kept-woman,K135
5433,landslide,L5324
1676,parliament-building,P6453
6,misanthrope,M2536
3040,alcoholic,A4242
2348,drug-ring,D6265
170,stewardess,S3632
5819,kenya,K5
3491,reference-to-jonathan-swift,R1652
3225,grandfather-grandson-relationship,G6531
1148,remote-control,R5325
1951,false-accusation,F4235
3941,document,D253
2031,decorated-hero,D2636
3330,fight-club,F2324
20,hitting-on-girl,H3525
3540,wrongful-conviction,W6521
3060,tradition,T635
2065,squatter,S236
4169,radio-program,R3162
3218,theater,T36
2762,bondage,B532
2783,spiked-drink,S1236
5121,police-pathologist,P4213
3882,female-in-shower,F5452
3015,mother-love,M3641
1907,taxi,T2
127,stolen-goods-fence,S3452
1336,st.-louis-cardinals,S3426
5619,roman-empire,R516
92,german-soldier,G6524
5815,cambodia,C513
870,death,D3
5897,flood,F43
473,film-festival,F4512
2321,muhammad-ali,M534
4251,familial-hug,F542
2450,pulfrich-effect,P4162
3579,ruler,R46
5050,media-frenzy,M3165
2170,katana,K35
424,oldtimer,O4356
5983,toe-tickler,T3246
5839,super-bowl,S1614
86,execution,E235
2989,incest,I523
5426,physiotherapy,P2361
1354,ronald-reagan,R5436
1870,breaking-window,B6252
1328,political-debate,P4324
2724,severed-head,S163
4524,suicide-by-gunshot,S2312
1028,strangulation,S3652
3801,new-york-state,N623
4512,opening-night,O1525
3196,paperboy,P161
4736,secretary-of-state,S2636
5568,squire,S26
3490,reference-to-fred-astaire,R1652
125,toronto-ontario-canada,T6535
1103,conservative,C5261
4715,body-double,B314
4346,babysitter,B1236
4552,baby-monitor,B1536
5139,porno-movie,P651
2211,metropolitan-community-church,M3614
2138,brain-surgery,B6526
4240,atchison-kansas,A3252
3312,business,B252
3161,street-singer,S3632
4979,jack-frost,J2162
5248,mugging,M252
1959,testimony,T235
1711,assassin,A25
1703,hit-by-a-bus,H312
533,women's-soccer,W526
436,music-festival,M2123
4321,earring,E652
4015,ghost-story,G2323
2456,intervention,I5361
3450,anti-bullying,A5314
774,stars,S362
4780,stutterer,S36
2054,crooked-businessman,C6231
1946,smuggling,S5245
2571,co-worker,C626
2589,leonardo-da-vinci,L5631
4050,ancient-burial-ground,A5253
3417,cottage,C32
2506,fraud,F63
2957,comics,C52
1362,kansas-city-kansas,K5232
4361,sadness,S352
5110,exotic-dancing,E2323
556,changing-of-the-guard,C5252
4779,impersonator,I5162
5348,golf-cart,G4126
4858,scottish-highlands,S2324
2961,sales,S42
5169,suicide-attempt,S2351
1662,based-on-true-story,B2353
535,blow-dart,B4363
1387,asian-american,A2562
331,nerd,N63
5185,jealous-husband,J4215
5768,race-relations,R2643
4819,price-controls,P6253
10,baby-picture,B1236
1850,disobeying-orders,D2152
906,cartoon-dog,C6353
2158,gambling,G5145
4849,comparative-religion,C5163
4439,carpenter,C6153
28,whistling,W2345
1349,massachusetts,M232
5360,pool,P4
5840,back-up-dancers,B2135
4796,contempt-of-court,C5351
3494,reference-to-sherlock-holmes,R1652
4986,anti-depressant,A5316
3778,skeleton,S2435
5022,shoe-repair,S616
1309,major-league-baseball,M2642
1109,religious,R42
4288,toy-soldier,T2436
3690,deltona-florida,D4351
4815,fancy-restaurant,F5262
830,1930s,S
4171,retired-policeman,R3631
5312,hold-up,H431
573,segway,S2
1308,brooklyn-new-york-city,B6245
3403,musical-number,M2451
3082,heaven,H15
5686,playing-with-dolls,P4523
742,live-broadcast,L1632
1272,fence,F52
5956,wild-dog,W432
3426,accident-victim,A2353
2738,con-man,C5
3661,orgasm,O625
5323,house-fire,H216
3423,comic-book-review,C5212
1048,darkness,D6252
4019,shadow-person,S3162
1210,binge-drinking,B5236
4095,punched-in-the-stomach,P5235
