subject,<wasCreatedOnDate>,<hasLatitude>,<hasLongitude>,<hasMotto>
<Defence_Services_Medical_Academy>,1992.1119,16.9351,96.1249,Victorious medical practitioner soldiers
<Defence_Services_Staff_College>,1905.0,,,Sanskrit|||English
<Defence_Services_Technological_Academy>,1993.0,,,Technology for Military Might
<Defense_Acquisition_University>,1991.1022,,,
<Defense_Language_Institute>,1954.0,36.6057,-121.9104,
<Defiance_College>,1850.0,41.29666666666667,-84.35833333333333,Defy the ordinary
<Deggendorf_Institute_of_Technology>,1994.0,48.82972222222222,12.954722222222221,
<Del_Mar_College>,1935.0,,,
<Del_Rosario_University>,1653.0,4.360085,-74.04235,Nova Et Vetera
<Delaware_County_Community_College>,1967.0,39.966793,-75.391788,
<Delaware_State_University>,1891.0515,39.1861,-75.5426,Vertrek en dien|||Het maken van ons teken op de wereld|||en
<Delaware_Technical_Community_College>,1966.0,39.20003,-75.55675,
<Delaware_Valley_University>,1896.0,40.297,-75.157,
<Delft_University_of_Technology>,1842.0108,52.001666666666665,4.3725,Challenge the Future
<Delgado_Community_College>,1921.0,,,
<Delhi_Institute_of_Tool_Engineering>,1978.0,28.5314,77.2705,Center of Excellence in Tool Engineering
<Delhi_School_of_Economics>,1949.0,,,
<Delhi_School_of_Management>,2009.0,28.74994722222222,77.11702777777776,Work is Worship
<Delhi_School_of_Music>,1953.0,,,
<Delhi_School_of_Social_Work>,1946.0,,,
<Delhi_Technological_University>,1941.0,28.74994722222222,77.11702777777776,
<Dell_Medical_School>,2013.0,,,
<Delmon_University_for_Science_&_Technology>,2003.0,,,
<Delta_Career_Education_Corporation>,1998.0,,,
<Delta_College_(Michigan)>,1961.0,43.558972222222216,-83.98613888888889,
"<Delta_State_University,_Abraka>",1992.0,6.516666666666667,3.386111111111111,
<Delta_State_University>,1924.0,33.742027,-90.726548,
<Democritus_University_of_Thrace>,1974.0,,,
<Den-en_Chofu_University>,1926.0,35.59527777777778,139.52444444444447,
<Denison_University>,1831.0,40.0722,-82.5225,
<Denmark_Technical_College>,,33.310816,-81.128661,
<Denny_High_School>,1569.0,56.014,-3.91,Summa Peto
<Denver_Seminary>,1950.0,39.60060555555556,-105.02237777777778,
<Department_of_African_American_Studies_–_Syracuse_University>,1979.0,,,
"<Department_of_Architecture,_Universiti_Teknologi_Malaysia>",1904.0,,,
"<Department_of_Architecture,_University_of_Cambridge>",1912.0,,,
"<Department_of_Biochemistry,_University_of_Oxford>",1923.0,51.75943,-1.2546,
<Department_of_Business_Economics>,1973.0,,,
"<Department_of_Business_Management,_University_of_Calcutta>",1976.0,,,Pursuing Excellence with Ethics
"<Department_of_Civil_Engineering,KUET>",1974.0,,,
"<Department_of_Computer_Engineering,_Chulalongkorn_University>",1975.0,13.735973,100.533865,
"<Department_of_Computer_Engineering,_University_of_Peradeniya>",2001.0,,,
"<Department_of_Computer_Science,_University_of_Illinois_at_Urbana–Champaign>",1964.0,,,
"<Department_of_Computer_Science,_University_of_Oxford>",1957.0,51.7597,-1.2584,
"<Department_of_Creative_Industries,_UWE,_Bristol>",1969.0,51.44377,-2.63042,
"<Department_of_Digital_Humanities,_King's_College_London>",1991.0,,,
"<Department_of_Earth_Sciences,_University_of_Cambridge>",1731.0,52.20305555555556,0.12222222222222222,
"<Department_of_East_Asian_Studies,_University_of_Delhi>",1964.0,,,
"<Department_of_Engineering,_University_of_Cambridge>",1875.0,52.19827,0.121579,
"<Department_of_Engineering_Science,_University_of_Oxford>",1908.0,51.75972222222222,-1.2594444444444444,
"<Department_of_English,_Dhaka_College>",1890.0,,,
"<Department_of_English,_University_of_Dhaka>",1921.0,,,
"<Department_of_Epidemiology,_Columbia_University>",1953.0,,,
<Department_of_Financial_Studies>,1987.0,,,
<Department_of_Geodesy_GUT>,1945.0,,,
"<Department_of_Instrumental_Music,_Rabindra_Bharati_University>",1976.0,,,
"<Department_of_International_Relations,_Sakarya_University>",1996.0,,,
"<Department_of_Journalism,_City_University>",1976.0,,,
<Department_of_Management_Sciences_(PUMBA)>,1971.0,18.5523,73.8246,
"<Department_of_Management_Studies,_IIT(ISM)_Dhanbad>",1997.0,,,Uttitishthat Jagrat Prapya Varannibhodhat
<Department_of_Management_Studies_IIT_Delhi>,1997.0,,,
<Department_of_Medicine_–_University_of_Pamplona>,2005.1213,,,
"<Department_of_Musicology_(Palacký_University,_Faculty_of_Philosophy)>",1946.0,49.58999,17.2619,
"<Department_of_Neurobiology,_Harvard_Medical_School>",1966.0,,,
<Department_of_Physical_Education>,1948.0,,,
"<Department_of_Physics,_Lund_University>",1735.0,55.71,13.203888888888889,
"<Department_of_Social_Policy,_London_School_of_Economics>",1912.0,,,
"<Department_of_War_Studies,_King's_College_London>",1962.0,,,
"<Dept._of_Computer_Science,_University_of_Delhi>",1981.0,,,
<Deree_College>,1875.0,,,
<Derozio_Memorial_College>,1996.0,,,
<Derwen_College>,1927.0,52.8884,-3.0281,
<Des_Moines_Area_Community_College>,1966.0318,,,
<Des_Moines_University>,1898.0,41.584,-93.662,Improving global human health through higher education
<Des_Moines_University_(1865–1929)>,1865.0,,,
<Desautels_Faculty_of_Management>,1906.0,45.50256,-73.57644,Beyond Business As Usual
<Desert_Medicine_Research_Centre>,1984.0,26.233705,73.02696,
<Desh_Bhagat_University>,1996.0,,,
<Deshapran_Mahavidyalaya>,2010.0,,,
<Deshbandhu_College>,1952.0,,,
<Deshbandhu_College_for_Girls>,1955.0,,,
<Deshbandhu_Mahavidyalaya>,1973.0,,,
<Design_Academy_Eindhoven>,1947.0,,,
<Design_Center_Colorado>,,40.00666666666667,-105.26722222222222,
<Design_School_Kolding>,1967.0,55.4863,9.4803,
<Dessie_Teacher's_Education_College>,1972.0,,,
<Destiny_University>,2001.0,,,
<Det_Nødvendige_Seminarium>,1972.0,56.2575,8.279166666666667,Learning by Doing
<Detroit_Institute_of_Technology>,1891.0,,,
<Detroit_Windsor_Dance_Academy>,1984.0,,,
<Deutsche_Film-_und_Fernsehakademie_Berlin>,1966.0,,,
<Dev_Bhoomi_Group_of_Institutions>,2005.0,,,A Destination to Shape Your Future
<Dev_Sanskriti_Vishwavidyalaya>,2002.0,29.998143,78.192779,
<Development_Management_Institute>,2014.0,25.6121,85.098,
<Devi_Ahilya_Vishwavidyalaya>,1964.0,,,
<Devil_Mountain_Improv_League>,1996.0,,,
<Dewan_Abdul_Goni_College>,1994.0,,,
<Dewanhat_Mahavidyalaya>,2007.0,,,
<Dhaka_College>,1841.0,23.73541666666667,90.38319444444444,Know Thyself
<Dhaka_International_University>,1995.0,23.7906,90.4079,
<Dhaka_National_Medical_College>,1994.0,23.7107,90.4122,
<Dhaka_Polytechnic_Institute>,1955.0,23.75888888888889,90.39972222222222,Progress and Service
"<Dhaka_University_of_Engineering_&_Technology,_Gazipur>",1980.0,,,
<Dhakuakhana_College>,1966.0,,,
<Dhamdhama_Anchalik_College>,1988.0,,,
<Dhanamanjuri_University>,2016.0,,,
<Dhankundi_Shahnaj_Siraj_High_School>,1992.0,24.567742,89.484112,
<Dhar_Polytechnic_Mahavidhyalaya>,1994.0,,,Sanskrit
<Dharamsinh_Desai_University>,1968.0,22.678333333333335,72.86444444444444,
<Dharanidhar_College>,1962.0,,,
<Dharma_Realm_Buddhist_University>,1976.0,,,
<Dharmaram_College>,1957.0621,12.936333333333334,77.60291666666666,Isha Bhakti Paramjnanam
"<Dharmatma_Inter_College,_Arrah>",1983.0,,,Buddhinashat Prinashyati
<Dhemaji_College>,1965.0,,,
<Dhemaji_Commerce_College>,1982.0,,,
<Dhenkanal_College>,1959.0,20.641469,85.614968,
<Dhivya_Matriculation_Higher_Secondary_School>,1992.0,12.451977,79.353744,
<Dhivya_Polytechnic_College>,2008.0,12.451977,79.353744,
<Dhole_Patil_College_of_Engineering>,2008.0,,,
<Dhrubachand_Haldar_College>,1965.0,,,
<Dhurakij_Pundit_University>,1968.0,13.8711,100.55,
<Dhurakij_Pundit_University_International_College>,2004.0,,,
<Diablo_Valley_College>,1949.0,37.97138888888889,-122.07,
<Diaconia_University_of_Applied_Sciences>,1996.0,,,
<Diamond_Harbour_Women's_University>,2012.0,,,
<Dibru_College>,1963.0,,,
<Dibrugarh_Govt._Boys'_Higher_Secondary_School>,1840.0,,,
<Dibrugarh_Hanumanbax_Surajmall_Kanoi_College>,1945.0,27.480153,94.924185,
<Dibrugarh_University>,1965.0,27.45,94.895,
<Dickinson_College>,1773.0,40.20262,-77.19522,Pietate et doctrina tuta libertas
<Dickinson_State_University>,1918.0,46.882777777777775,-102.80027777777778,
<Dicle_University>,1974.0,,,
<Diederich_College_of_Communication>,1910.0,43.038348,-87.926787,
<Diego_Portales_University>,1982.0,,,
<DigiPen_Institute_of_Technology>,1988.0,47.68888888888888,-122.15055555555556,A serious education for a serious caree
<Digital_Hollywood_University>,1994.0,,,
<Digital_Media_Arts_College>,2002.0,26.384623,-80.076159,
<Digital_Skills_Academy>,2008.0,,,
<Dignity_College_of_Architecture>,2005.0,21.1616,81.2228,Designing The Designers
<Dijlah_University_College>,2004.0,33.266666666666666,44.35583333333334,
<Dillard_University>,1869.0,29.995,-90.06527777777778,
<Dimapur_Government_College>,1966.0,27.3141,88.6002,Try Trust Triumph
<Dimitrie_Cantemir_Christian_University>,2002.0,44.4146,26.1152,
<Dinabandhu_Andrews_College>,1956.0,,,
<Dinabandhu_Institution>,1948.0,,,
<Dinabandhu_Mahavidyalay>,1947.0,,,
<Dinacharya_Institute>,2007.0,40.74168888888889,-73.98293611111112,
<Dinajpur_Medical_College>,1992.0,25.6106,88.6551,
<Dinhata_College>,1956.0,,,
<Diné_College>,1968.0,36.32038,-109.23088,The Higher Education Institution of the Navajo
<Diphu_Government_College>,1964.0623,25.8408,93.424,ANO BHADRAH KRATAVYO YANTU VISHWATAH
<Diplomatic_Academy_of_London>,1980.0,51.5169,-0.1429,
<Diplomatic_Academy_of_Vienna>,1754.0,48.193263888888886,16.37078888888889,
<Diplomatic_Academy_of_the_Ministry_of_Foreign_Affairs_of_the_Russian_Federation>,1934.0,55.7356,37.5955,
<Diplomatic_School_of_Spain>,1942.0,,,
<Diponegoro_University>,1957.0109,-7.049,110.438,Wiyata Hangreksa Gapuraning Nagara
<Directorate_of_Groundnut_Research>,1979.0,,,
"<Directorate_of_Technical_Education_&_Training,_Odisha>",1977.0,,,
<Disciples_Divinity_House>,1894.0,41.7916,-87.5978,Let knowledge grow from more to more
<Disciples_Divinity_House_at_Vanderbilt>,1942.0,36.148,-86.7979,
<Distance_State_University>,1977.0,9.9407,-84.0479,Latin|||El conocimiento al instante
<District_University_IEEE_Student_Branch>,1962.0,,,Vive la Experiencia IEEE
<District_University_of_Bogotá>,1948.0,4.628055555555556,-74.06527777777778,Ubi Veritas Ibi Libertas
<Divekar_College_of_Commerce>,1970.0,14.82,74.12,
<Divine_Mercy_University>,2015.0,38.855834,-77.051575,Fides Ratio Actio
<Divine_Word_College>,1964.0,,,
<Divine_Word_College_of_Bangued>,1920.0,17.599602777777775,120.61301388888889,Scientia et Virtus
<Divine_Word_College_of_Calapan>,1946.04,,,Your Future is Our Mission
<Divine_Word_College_of_Laoag>,1946.0,,,Deo et Patriae
<Divine_Word_College_of_San_Jose>,1961.0,,,
<Divine_Word_College_of_Urdaneta>,1966.0,,,
<Divine_Word_College_of_Vigan>,1925.0,,,Semper Fidelis
<Divine_Word_Seminary>,1933.0,,,
<Divine_Word_University>,1980.0,,,Sic currite ut comprehendatis
<Divine_Word_University_of_Tacloban>,1929.0,,,
<Division_of_Health_Sciences_(UQROO)>,2010.1023,18.52404,-88.31299,
<Division_of_IT_Convergence_Engineering>,2009.0,,,
<Dixie_Applied_Technology_College>,2001.0,37.0825,-113.60583333333332,
<Dixie_State_University>,1911.0919,37.09527777777778,-113.57777777777777,
<Dixon_University_Center>,,40.2949,-76.9044,
<Dnipropetrovsk_National_University_of_Rail_Transport>,1930.0,48.434,35.048,
<Dnyaneshwar_Vidyapeeth>,1980.0,,,Education is the birthright of each and every individual
<DoMS_NIT_Trichy>,1978.0,10.760783,78.816935,
<Doaba_College>,1941.0,31.3424,75.5857,
<Doane_University>,1872.0,40.623578,-96.948724,
<Dodge_City_Community_College>,1935.0,37.7768,-100.0374,In Quest of Truth
<Doho_University>,1826.0,35.1635,136.8441,
<Dohto_University>,,42.97938888888889,141.54244444444444,
<Dokkyo_Medical_University>,1973.0,36.47291666666667,139.82344444444445,
<Dokkyo_University>,1883.0,35.8399,139.794,
<Dokuz_Eylül_University>,1982.072,38.4306,27.1372,
<DolceVita_Institute_of_Technology>,1994.0,,,
<Dom_Bosco_Catholic_University>,1961.1124,,,
<Dominica_State_College>,2002.0,15.31027777777778,-61.379444444444445,
<Dominican_Adventist_University>,1947.0,,,
<Dominican_Biblical_Institute>,2000.0,,,
<Dominican_College_(New_York)>,1952.0,41.054069,-73.952537,
<Dominican_College_of_Tarlac>,1946.0,,,
<Dominican_House_of_Studies>,1905.0,38.9317,-76.9993,
<Dominican_University_(Illinois)>,1901.0,41.90277777777778,-87.82166666666666,Caritas et Veritas
<Dominican_University_College>,1900.0,45.411116666666665,-75.70914444444445,Discover Wisdom
<Dominican_University_of_California>,1890.0,37.97972222222222,-122.51333333333334,Veritas Fax Ardens
<Domus_Academy>,1982.0,45.4456,9.1744,
<Don_B._Huntley_College_of_Agriculture>,1938.0,,,Instrumentum Disciplinae
"<Don_Bosco_Academy,_Pampanga>",1956.0,,,Luctor Et Emergo
"<Don_Bosco_College,_Canlubang>",1963.0,,,Ad Maiora Natus
<Don_Bosco_High_School_(Lahore)>,1956.0,,,
"<Don_Bosco_Institute_of_Technology,_Mumbai>",2001.0,19.081252,72.88858,Technology for the Young
"<Don_Bosco_School,_Manila>",1989.0,,,
<Don_Bosco_Technical_College>,1953.0,,,Ascende Superius
"<Don_Bosco_Technical_Institute,_Tarlac>",1951.0,,,Ducere Est Servire
"<Don_Bosco_Technical_Institute,_Victorias>",1951.0,,,Altiora Quaero
<Don_Honorio_Ventura_Technological_State_University>,1861.0,,,Escuela de Artes y Oficios
<Don_Mariano_Marcos_Memorial_State_University>,1981.0115,,,
<Dona_Francisca_Lacsamana_de_Ortega_Memorial_National_High_School>,1972.0,,,
<Donald_W._Reynolds_School_of_Journalism>,1984.0914,39.54137,-119.81524,
<Donbas_State_Technical_University>,1957.0,,,
<Donetsk_National_Medical_University>,1930.0,48.0019,37.8287,
<Donetsk_National_Technical_University>,1921.0,48.278166,37.178304,
<Donetsk_National_University>,1937.0,48.0041,37.7975,
<Donetsk_State_University_of_Management>,1992.0,,,
<Dong-a_University>,1946.0,35.1159,128.9673,
<Dong-eui_University>,1977.0,35.1394,129.0334,
<Dong_Nai_University>,1976.0,10.9595,106.8615,
<Dong_Seoul_University>,1976.0,37.45966111111112,127.12954166666665,
<Dongguk_University>,1906.0508,37.56583333333333,126.93861111111111,
<Donghua_University>,1951.0,,,
<Dongnam_Health_College>,1973.0,37.29861111111111,126.98694444444445,
<Dongseo_University>,1992.0,35.17944444444444,129.07555555555555,
<Doon_University>,2005.0,30.2678065,78.045935,
<Doral_College>,2011.0,,,
<Doranda_College>,1962.0,,,
<Dordt_College>,1955.0,43.083312,-96.16711,Soli Deo Gloria
<Dorset_College>,1983.0,53.3609,-6.2607,
<Doshisha_Business_School>,2004.0,35.031638888888885,135.75883333333334,
<Doshisha_University>,1875.0,35.029737,135.760725,Veritas liberabit vos
<Doshisha_Women's_College_of_Liberal_Arts>,1876.0,35.029629,135.763613,Ego sum vitis vera
<Doshisha_Women's_Junior_College>,1986.0,,,
<Douglas_College>,1970.0,,,
<Douglas_Education_Center>,1904.0,40.16155,-79.88842,
"<Douglass_High_School_(Memphis,_Tennessee)>",1940.0,35.175555555555555,-89.95166666666667,
<Douglass_Residential_College>,1918.0,40.484,-74.435,
<Dow_International_Medical_College>,2005.0,24.9438,67.1372,
<Dow_Medical_College>,1945.0,,,
<Dow_University_of_Health_Sciences>,1944.0,,,
<Dowling_College>,1968.0,40.742,-73.148,
<Doña_Ana_Community_College>,1973.0,32.2761,-106.7554,
<Doña_Lourdes_Institute_of_Technology>,2003.0,,,Excellence built through tradition
<Doğuş_University>,1997.0,41.000277777777775,29.046944444444446,Professional world
<Dr._A.P.J._Abdul_Kalam_Government_College>,2014.0,,,
<Dr._A.P.J._Abdul_Kalam_Technical_University>,2000.0508,,,Sanskrit
<Dr._Abdul_Haq_Urdu_University>,2016.0,,,
"<Dr._Ambedkar_Government_Law_College,_Chennai>",1891.0,13.087547222222224,80.28563055555556,
<Dr._Ambedkar_Institute_of_Technology>,1979.0,12.964694444444444,77.50633611111111,
"<Dr._B.C._Roy_Engineering_College,_Durgapur>",2000.0821,,,
<Dr._B.R._Ambedkar_College>,1973.0,,,
<Dr._B._R._Ambedkar_Institute_of_Technology>,1984.0,,,
<Dr._B._R._Ambedkar_National_Institute_of_Technology_Jalandhar>,1987.0,,,
<Dr._B._R._Ambedkar_Satabarshiki_Mahavidyalaya>,2005.0,,,
<Dr._B._R._Ambedkar_University>,1927.0,27.1995,78.0155,
<Dr._Babasaheb_Ambedkar_Marathwada_University>,1958.0,,,Knowledge is sacred and is the source of enlightenment
<Dr._Babasaheb_Ambedkar_Open_University>,1994.0,23.087,72.5277,
<Dr._Babasaheb_Ambedkar_Technological_University>,1989.0,18.168423,73.335607,
<Dr._Balasaheb_Sawant_Konkan_Krishi_Vidyapeeth>,1972.0,18.62295,73.88734166666667,
<Dr._Bhupendra_Nath_Dutta_Smriti_Mahavidyalaya>,1996.0,,,
<Dr._C._V._Raman_University>,2003.0,,,
"<Dr._D.Y._Patil_College_of_Engineering,_Pune>",1984.0,18.623058,73.815656,Empowerment through knowledge
<Dr._Gourmohan_Roy_College>,1986.0,,,
<Dr._Hari_Singh_Gour_University>,1946.0718,,,From Unreal To The Real
<Dr._Holbrook's_Military_School>,1864.0,41.152944,-73.850194,
"<Dr._Jivraj_Mehta_Institute_of_Technology,_Anand>",2010.0,,,Shakti Gyanatmika Para
<Dr._K.N.Modi_University>,2010.0,26.3888615,75.9148568,
<Dr._K.N.Modi_institute_of_Engineering_&_Technology>,1995.0,,,
<Dr._Kanailal_Bhattacharya_College>,1985.0,,,
<Dr._L._H._Hiranandani_College_of_Pharmacy>,2004.0,19.220376,73.163034,Knowledge Hardwork Preservence And Dedication Are The Keys To Success
<Dr._Meghnad_Saha_College>,2000.0,,,
<Dr._Meghnath_Saha_College>,2000.0,,,
<Dr._NTR_University_of_Health_Sciences>,1986.0,16.516375,80.66926111111111,Vaidyo nārāyaṇo hariḥ
<Dr._Navalar_Nedunchezhiyan_College_of_Engineering>,1995.0,,,
<Dr._Panjabrao_Deshmukh_Krishi_Vidyapeeth>,1969.102,20.714222222222222,77.05061388888889,
<Dr._Rajendra_Prasad_Government_Medical_College_Kangra>,1996.0,,,
<Dr._Ram_Manohar_Lohia_Avadh_University>,1975.0,,,
"<Dr._S.N._Medical_College,_Jodhpur>",1965.0,26.2694184,73.0052125,
<Dr._Sarvepalli_Radhakrishnan_Rajasthan_Ayurved_University>,2003.0,26.4516653,73.1054818,
<Dr._Shakuntala_Misra_National_Rehabilitation_University>,2008.0,,,For Differently Abled
<Dr._Shankarrao_Chavan_Government_Medical_College>,1988.0,,,Service for Humanity
<Dr._Sirajul_Islam_Medical_College>,2011.0,23.7472,90.4105,
<Dr._Sivanthi_Aditanar_College_of_Engineering>,,8.521374,78.08935,
<Dr._William_M._Scholl_College_of_Podiatric_Medicine>,1912.0,42.301,-87.861,
<Dr._Yashwant_Singh_Parmar_Government_Medical_College_Nahan>,2016.0,,,
<Dr_G_R_Damodaran_College_of_Science>,1988.0,11.034166666666666,77.02972222222222,In Quest of Knowledge
<Drake_University>,1881.0,41.60111111111111,-93.65222222222222,Veritas
<Drama_Centre_London>,1963.0,51.522777777777776,-0.10916666666666668,
<Drama_Studio_London>,1966.0,51.5094,-0.305,
<Dramatiska_Institutet>,1970.0,59.33943888888889,18.101300000000002,
<Draper_University>,2012.0,37.5635,-122.325,
<Dravidian_University>,1997.0,,,
"<Dreamland_School,_Makhla>",1973.0,,,Manifesting the perfection of the future generation
<Dreamz_Infotainments>,2000.0,,,
<Dreikönigsgymnasium>,1450.0,50.967,6.929,
<Dresden_Academy_of_Fine_Arts>,1764.0,51.05277777777778,13.7425,
<Drew_University>,1867.0,40.761,-74.427,δωρεαν ελαβετε δωρεαν δοτε
<Drexel_University>,1891.0,39.954,-75.188,
<Drexel_University_College_of_Engineering>,1891.0,39.95411,-75.18673,
<Drexel_University_College_of_Medicine>,1848.0,40.01977,-75.17966,
<Drexel_University_Sacramento>,2009.0105,,,
<Drexel_University_School_of_Public_Health>,1996.0,39.95689,-75.16445,
<Drohobych_State_Pedagogical_University_of_Ivan_Franko>,1940.0415,,,
<Dronacharya_College_of_Engineering>,1998.0,28.4289,76.8677533,Combining Tradition with Modernity
<Dronacharya_Group_of_Institution>,2006.0,28.4785544,77.4688604,Combining Tradition with Modernity
<Drury_University>,1873.0,37.2196,-93.2857,
<Drăgan_European_University_of_Lugoj>,1992.1001,,,A university for solid destinies
<Dubai_Medical_College>,1985.0,25.25027777777778,55.41722222222222,
<Dubai_Men's_College>,1989.0,,,
<Dubai_Pharmacy_College>,1992.0,25.250833333333333,55.416666666666664,
<Dubai_School_of_Dental_Medicine>,2013.0,,,
<Dublin_Business_School>,1975.0,53.3406,-6.2656,Excellence Through Learning
<Dublin_City_University>,1975.0,53.384954,-6.256542,
<Dublin_Institute_of_Design>,1991.0,,,
<Dublin_Institute_of_Technology>,1887.0,53.33861111111111,-6.266388888888889,
<Dublin_Metropolitan_University>,1998.0,,,
<Dubrovnik_International_University>,2008.0,42.6416,18.1111,
<Duisenberg_School_of_Finance>,2008.0,,,Duces autem in rebus oeconomicis
<Duke_Kunshan_University>,2012.0,,,
<Duke_University>,1838.0,36.00111111111111,-78.9388888888889,Eruditio et Religio
<Duke_University_School_of_Nursing>,1931.0,36.00628,-78.93546,
<Duke_University_String_School>,1967.01,36.0092,-78.9158,
<Duke–NUS_Medical_School>,2005.0,,,
<Dukhulal_Nibaran_Chandra_College>,1967.0,,,
<Dum_Dum_Motijheel_College>,1950.0,,,
<Dum_Dum_Motijheel_Rabindra_Mahavidyalaya>,1968.0,,,
<Dumaguete_Academy_for_Culinary_Arts>,2010.0,,,
<Dumaguete_Science_High_School>,1988.0,,,Scientia Et Vita
<Dumkal_College>,1999.0,,,
<Dundalk_Institute_of_Technology>,1970.0,,,
<Dundee_College>,1985.0,,,
<Dundee_Law_School>,1500.0,56.457,-2.978,
<Dungar_College>,1912.0,28.0110782,73.339743,Vidya Vindate Amritam
<Dunne_Hall_(University_of_Notre_Dame)>,2016.0,,,
<Dunwoody_College_of_Technology>,1914.0,44.972500000000004,-93.29027777777777,
<Dunya_School>,1998.0,,,
<Duquesne_University>,1878.1001,40.43611111111111,-79.99305555555556,Spiritus est qui vivificat
<Duquesne_University_School_of_Law>,1911.0,40.43649,-79.99196,The Welfare of the People is the Highest Law|||Salus Populi Suprema Lex
<Durango_Institute_of_Technology>,1948.0802,24.031219444444442,-104.64691388888889,La Técnica al Servicio de la Patria
<Durban_University_of_Technology>,2002.0,-29.85138888888889,31.00722222222222,A preferred university for developing leadership in technology and productive citizenship
<Durg_University>,2015.0424,,,
"<Durga_Mahavidyalaya,_Raipur>",1951.0,21.25,81.63,
<Durgapur_Government_College>,1970.0,,,
<Durgapur_Women's_College>,1980.0,,,
<Durham_College>,1967.0,43.943888888888885,-78.89694444444446,
<Durham_Law_School>,1969.0,54.775082,-1.574678,
<Durham_Technical_Community_College>,1961.0,35.975,-78.881,
<Durham_University>,1832.0,54.773,-1.574,Fundamenta eius super montibus sanctis
<Durham_University_Business_School>,1965.0,54.76416666666667,-1.5861111111111112,Better Business Thinking
<Dusit_Thani_College>,1993.0,13.6988,100.6489,Success through wisdom
<Duta_Wacana_Christian_University>,1962.1031,-7.785833333333334,110.37805555555555,The New Breed of Professional
<Dutchess_Community_College>,1957.0,41.724901,-73.904257,
<Duy_Tan_University>,1994.0,16.0601,108.2097,We Do Everything for Student Rights and Future Careers
<Dwijendralal_College>,1968.0,,,
"<Dyal_Singh_College,_Karnal>",1910.0503,,,
<Dyersburg_State_Community_College>,1969.0,36.04841,-89.38992,
<Dynamic_International_University_College>,2005.0,,,
<Düzce_University>,2006.0,,,
<D–Q_University>,1971.0,,,
<E-Artsup>,2001.0,48.86609611111111,2.373295277777778,The graduate school of digital creativity
<E._Claiborne_Robins_School_of_Business>,1949.0,37.74561111111111,-77.53619444444445,
<E._G._West_Centre>,2002.0,,,
<E._J._Ourso_College_of_Business>,1928.0,,,
<E._W._Scripps_School_of_Journalism>,1924.0,39.325467,-82.101072,
<EADA_Business_School>,1957.0,41.3879,2.1593,Where Business People Grow
<EAE_Business_School>,1958.0,41.38027777777778,2.148888888888889,
<EAFIT_University>,1960.0,6.1997333333333335,-75.57868611111111,Inspira Crea Transforma
<EARTH_University>,1990.0,10.201244444444443,-83.606,
<EBC_Hochschule>,2007.0,53.5576,9.9915,
<ECPI_University>,1966.0,,,
<EDC_Paris_Business_School>,1950.0,,,
<EDHEC_Business_School_(Ecole_des_Hautes_Etudes_Commerciales_du_Nord)>,1906.0,50.67305555555555,3.166111111111111,
<EFLU_Malappuram_Campus>,1958.0,,,Words Illumine Everything
<EFREI>,1936.0,48.78972222222222,2.363888888888889,
<EGADE_Business_School>,1995.0,25.643345,-100.325679,
<EHESP>,1945.0,48.11611111111111,-1.7025,
<EHOVE_Career_Center>,1968.0,41.331596,-82.632203,
<ELAM_(Latin_American_School_of_Medicine)_Cuba>,1998.0,,,
<ELISAVA>,1961.0,41.37873888888889,2.1758083333333333,
<EMLYON_Business_School>,1872.0,45.78611111111111,4.763888888888889,Early makers|||Educating Entrepreneurs for the World
<EMPI_B-school>,1995.0,,,Innovating India
<EM_Strasbourg_Business_School>,1919.0,48.583333333333336,7.773333333333333,be distinctive|||Be distinctive
<ENAC_Alumni>,1987.0,,,
<ENAC_Foundation>,,,,Embarquement immédiat pour le ciel de demain
<ENGECON_Dubai>,2005.0,59.00000001,30.00000001,Economic education for the welfare of Motherland
<ENPC_School_of_International_Management>,1987.0,,,In business to make a better world
<ENSAE_ParisTech>,1942.0,48.8243,2.3024,
<ENSAIT>,1889.0,50.69444444444444,3.1680555555555556,
<ENSEEIHT>,1907.0,43.60194444444445,1.4552777777777777,
<ENSTA_ParisTech>,1741.0,48.834246,2.283331,
<EPSCI>,1975.0,49.033055555555556,2.077777777777778,Agir En Pionniers
<ESADE>,1958.0,41.38333333333333,2.183333333333333,Inspiring Futures
<ESADE_Business_School>,1958.0,41.3914,2.1118,
<ESAN_University>,1963.0,-12.105,-76.961,
<ESB_Business_School>,1971.0,48.490833333333335,9.205833333333333,
<ESCOM>,1993.0927,19.505,-99.14666666666668,
<ESCP_Europe>,1819.0,48.8644,2.380788888888889,
<ESC_Bretagne_Brest>,1962.0,48.40611111111111,-4.521388888888889,
<ESC_Clermont_Graduate_School_of_Management>,1919.0,,,La valeur sûre|||Une Valeur sûre
<ESC_Lille>,1892.0,50.63722222222222,3.0733333333333337,
<ESC_Rennes_School_of_Business>,1990.0,48.1288,-1.69265,
<ESDEN_Business_School>,1996.0,40.431355,-3.680015,
<ESDi_School_of_Design>,1989.0,,,
<ESERP_Business_School>,1984.0,,,
<ESIEA_(university)>,1958.0,48.814167,2.378056,
<ESIEE>,1992.0,,,Inventer le futur
<ESIEE_Amiens>,1992.0,48.84,2.583888888888889,Inventer le futur
<ESIEE_Management>,1995.0,,,
<ESIEE_Paris>,1904.0,48.84,2.583888888888889,
<ESIGELEC>,1901.0,49.383652,1.077485,
<ESIQIE>,1948.0,19.50138888888889,-99.13444444444445,
